,dp_0,dp_1,dp_2,dp_3,medianCorrectRT_0,medianCorrectRT_1,medianCorrectRT_2,medianCorrectRT_3,medianIncorrectRT_0,medianIncorrectRT_1,medianIncorrectRT_2,medianIncorrectRT_3,medianRT_0,medianRT_1,medianRT_2,medianRT_3,dp_hits0,dp_hits1,dp_hits2,dp_hits3,dp_fa0,dp_fa1,dp_fa2,dp_fa3,dp_allhits,dp_allfa
0,2.556231991620070,0.3165420049740290,0.2734166146852870,0.417659058978738,1.3628919000002500,1.1811534000000800,1.440493399999920,1.1393252499997300,1.2167748000001700,1.3665023500000200,1.6990461000000300,1.3006172500001900,1.302488600000290,1.3255006000001700,1.5087770500001600,1.2085661000001000,0.5909090909090910,0.45454545454545500,0.4375,0.7391304347826090,0.0,0.3333333333333330,0.3333333333333330,0.5882352941176470,0.5662650602409640,0.3116883116883120
1,1.5693960443643900,0.2533471031358000,1.3161772616187500,1.0454544752638100,1.2454301500001700,1.1399647000002900,1.017860500000100,1.0053871499999300,1.4107943999997600,1.2404648999995500,1.3361211000001300,1.0401901499994900,1.3206442499999900,1.1711076500000700,1.0960646499997900,1.0105689999995800,0.6363636363636360,0.6,0.6363636363636360,0.7142857142857140,0.1111111111111110,0.5,0.16666666666666700,0.3157894736842110,0.6470588235294120,0.28
2,1.4790335237016200,0.35850634839470600,0.8532362717802730,0.5396764878757310,0.9461886999999930,1.1045598999999100,1.0776169999999200,0.9368749000000210,1.2909225999999300,1.4285190000000500,1.121441300000020,1.2216602999999400,1.1868992500000100,1.2521200499999200,1.1096198000000200,0.977981199999931,0.45454545454545500,0.14285714285714300,0.45454545454545500,0.23809523809523800,0.05555555555555560,0.07692307692307690,0.16666666666666700,0.10526315789473700,0.34177215189873400,0.09876543209876540
4,0.3964014413839360,0.23152597450619100,-0.2589184245745900,0.25132269371014800,1.075033799999800,1.0341864500001100,1.0300592000003200,1.2101573499999200,1.1895769000002500,0.9143804999998790,1.0807246499998700,1.1797375500000300,1.1196931000004000,0.9853727500003520,1.0610607500002500,1.1861651999997800,0.5454545454545450,0.42105263157894700,0.42105263157894700,0.55,0.3888888888888890,0.3333333333333330,0.5238095238095240,0.45,0.4875,0.425
5,0.8601280503399840,0.15840279691352400,1.0968035620935100,1.8170741794768700,1.1574074500000500,1.1711270500001100,1.0220827999999100,0.803144399999951,1.4768257499998800,1.5868955000000800,1.510944350000160,1.2790284999999800,1.2908558000000300,1.3567244500000000,1.1909587000001200,0.9336663000000270,0.2857142857142860,0.2777777777777780,0.5,0.8666666666666670,0.07692307692307690,0.22727272727272700,0.13636363636363600,0.24,0.47692307692307700,0.16842105263157900
6,1.1075768284165100,0.2298841175792320,0.8760262162579920,1.5102075565137000,0.8868610999998050,0.9168460000005330,0.9625537000001710,0.8329506999998560,1.630725199999690,1.40344634999974,1.248157799999720,0.6990048999996360,0.9553510499999900,1.0382355499996300,0.9911860000001980,0.7879212500001810,0.6190476190476190,0.5909090909090910,0.7692307692307690,0.9411764705882350,0.21052631578947400,0.5,0.4444444444444440,0.5217391304347830,0.7123287671232880,0.42528735632183900
7,1.560139158852950,0.41089393427745700,1.2353236796557600,2.0826428270506400,1.1875032000007200,1.1740582000002200,1.1817665999988100,0.9990144999992480,1.7592185499997900,1.3776680999999400,1.463513700000480,1.0468836500003800,1.2947648000008500,1.226537149998880,1.2059266500000400,1.00732379999954,0.47619047619047600,0.3333333333333330,0.6666666666666670,0.7083333333333330,0.05263157894736840,0.2,0.21052631578947400,0.0625,0.5679012345679010,0.13924050632911400
8,0.20498908742319300,1.3062716412546400,1.120453114243430,0.21400590835030000,0.9961109499990930,1.033355250000570,1.1474035999999600,0.8510647999992220,0.9672910499994030,1.2910063999997900,1.294217700000450,1.151124100000740,0.9961109499990930,1.1757229499999100,1.2182670499996700,0.9463527500001870,0.08695652173913040,0.15384615384615400,0.3,0.4583333333333330,0.058823529411764700,0.0,0.05,0.375,0.24731182795698900,0.11940298507462700
9,0.5882741304371140,-0.05804911181921200,0.17652520527474400,0.276570985082344,1.0308672500000300,1.117920700000010,0.920570800000064,1.113864450000050,1.3124767999999600,1.1840101000000200,1.3118802999999800,1.2197002999998900,1.1303037500000500,1.1511453500000400,1.0870286499999800,1.208210650000070,0.4,0.3125,0.38095238095238100,0.5714285714285710,0.2,0.3333333333333330,0.3157894736842110,0.46153846153846200,0.4084507042253520,0.33707865168539300
10,0.5959139999771890,0.8122178014999130,0.37921369458197200,0.3497123369162330,1.6215265999999200,1.3002197000005300,1.448077199999720,1.1785888999993400,1.6438381999996600,2.395629999999980,1.468456900000090,1.327860299999880,1.6215265999999200,1.506972449999920,1.4579871500000100,1.2048076000000900,0.5217391304347830,0.5,0.5714285714285710,0.6086956521739130,0.29411764705882400,0.20833333333333300,0.42105263157894700,0.47058823529411800,0.5542168674698800,0.33766233766233800
11,0.6606114168746900,0.7777476158438410,1.1906740155998900,0.9672825804279880,1.093709900000250,1.239183449999470,1.2483323000014900,1.0087973000008800,1.3910161999992900,1.5099938000003000,1.353490800000150,0.9455839000002020,1.14224804999958,1.2935146999998300,1.2709567000001700,1.0047979500004700,0.5909090909090910,0.6,0.6111111111111110,0.55,0.3333333333333330,0.3,0.18181818181818200,0.2,0.5875,0.25
12,1.41302503215787,2.0504268109328800,0.3964014413839360,0.7651501467221300,1.0738224999986400,1.031959499999180,1.0953709999994300,0.9786729500001460,1.1816260000014200,1.232835900000280,1.2771436999992100,1.1331265499993600,1.164671300000010,1.0721173999991200,1.178609000000510,1.0143481999994000,0.375,0.391304347826087,0.5454545454545450,0.5789473684210530,0.041666666666666700,0.0,0.3888888888888890,0.2857142857142860,0.475,0.175
13,0.3487556955170450,0.4989288940483270,0.7777476158438400,0.6840744024312570,1.3002455999999300,1.5190026500000600,0.9652445999998920,1.2014014000001200,1.5294194000000500,1.6517569499999400,1.3608730999999400,1.7338124000000300,1.431628450000060,1.5694823999999700,1.0246191499999200,1.2376163499999400,0.5,0.5882352941176470,0.7,0.6,0.36363636363636400,0.391304347826087,0.4,0.3333333333333330,0.6,0.375
14,0.04749429109194000,0.6124994198741290,0.38414295550059400,0.7706409328151360,1.7331636000000100,1.9825043999999200,1.7496776499999700,1.4645684000000800,1.9802063500000600,2.9916074999999900,3.4278403500001100,2.1470107000001200,1.8027672500001000,2.3161700000000000,2.083011249999910,1.684179849999960,0.15384615384615400,0.6818181818181820,0.4583333333333330,0.65,0.14285714285714300,0.4444444444444440,0.3125,0.35,0.4673913043478260,0.3235294117647060
15,0.7072425377144360,0.5816965147922350,1.7420602740742200,0.630971842579553,1.144252250000140,1.3335425000000200,1.1836252000002800,1.0576657000001400,1.1875334500000500,1.189364050000220,1.273340400000050,1.159813600000230,1.1671086500000500,1.2463521999998200,1.1892384500001800,1.0967530500001900,0.47058823529411800,0.6666666666666670,0.8571428571428570,0.6111111111111110,0.21739130434782600,0.44,0.25,0.36363636363636400,0.6794871794871800,0.32926829268292700
17,0.7825131034048010,0.5488284033410080,0.49673911167129800,1.0484811727613100,1.1129728999994800,0.9633565500007540,1.0475031000005400,0.9478822999999470,1.0896493499994900,1.08461140000054,1.0938234499999500,0.9856922500002840,1.0896493499994900,1.0300508000000300,1.069946550000170,0.959126250000736,0.4583333333333330,0.45,0.5263157894736840,0.7619047619047620,0.1875,0.25,0.3333333333333330,0.3684210526315790,0.5476190476190480,0.2894736842105260
18,0.7738949387068650,1.053331299000420,0.7784548447653300,0.6670033691342420,1.627337500000070,1.7080783999981600,1.413681349999020,1.0194240999999200,1.6081797999995600,1.6318382499994200,1.4723377500013200,1.4845064000001000,1.6177586499998100,1.7080783999981600,1.4266984500000000,1.2469447500006900,0.7333333333333330,0.6956521739130440,0.5263157894736840,0.7647058823529410,0.44,0.29411764705882400,0.23809523809523800,0.5217391304347830,0.6756756756756760,0.38372093023255800
19,0.651112923086222,0.4727891209922670,-0.47195650771331100,0.36899226043204700,1.0473594500000400,1.4178856500000700,1.1035782000000200,1.1072153999999700,1.2133252500000300,1.5077298500000300,1.1591450500000100,0.7744841000001090,1.1864033499999800,1.4493782000000700,1.122726049999980,0.92660340000009,0.35,0.5,0.26666666666666700,0.5263157894736840,0.15,0.3181818181818180,0.44,0.38095238095238100,0.4166666666666670,0.32954545454545500
20,1.0968035620935100,0.6730793066748210,1.3621891739014500,0.9923384341732280,1.2041354500001900,0.9712760500001420,1.0185808500000300,0.781261799999811,1.1218989499998300,1.198112200000200,1.5140389499997600,1.0457252999995000,1.1934661499999500,1.022391349999910,1.1300048999996800,0.8079641000003900,0.5,0.52,0.7391304347826090,0.8148148148148150,0.13636363636363600,0.26666666666666700,0.23529411764705900,0.46153846153846200,0.6559139784946240,0.2537313432835820
21,0.7001675196063270,0.5882741304371140,0.8532362717802730,0.6124994198741300,1.094305600000040,1.0988793500000000,0.9811247000000090,0.8390783999999490,1.3621530000000300,1.0526056499999800,1.1017764999999100,0.8500130999999560,1.1339393000000100,1.0794206999999600,1.0830393499999800,0.844545749999952,0.38095238095238100,0.4,0.45454545454545500,0.5555555555555560,0.15789473684210500,0.2,0.16666666666666700,0.3181818181818180,0.4473684210526320,0.21428571428571400
22,1.2413503476039200,0.8213922209697620,1.0126055906851800,1.6832424671458300,1.2249480999998900,1.2127578000004200,0.898379649999697,0.9246175499997660,1.4682637000005300,1.1467561499998700,1.4322164000000200,1.2651694999999600,1.2907454500000300,1.2054339000001200,1.0693289000000700,0.938297700000021,0.5217391304347830,0.3333333333333330,0.5294117647058820,0.8,0.11764705882352900,0.10526315789473700,0.17391304347826100,0.2,0.5263157894736840,0.15476190476190500
23,1.8535587530485700,0.7646887145679400,0.9163282871688340,1.9559227295512700,0.9042026000006450,0.9262146500004750,0.8013466499996870,0.810042600000088,1.277890600000320,1.127075400000650,1.3455578000002800,1.1228267000005900,1.0180199499991400,0.9383675500002940,0.9289961000004040,0.8517636499991570,0.3181818181818180,0.43478260869565200,0.5714285714285710,0.6521739130434780,0.0,0.17647058823529400,0.23076923076923100,0.058823529411764700,0.4878048780487810,0.1282051282051280
24,1.0539074367054100,1.1924024204799000,0.19481215592087600,0.9366204488359080,1.3215279500000200,1.9461637000004000,1.1977363000005400,1.573647400000480,1.340519000000310,2.13877119999961,1.6779047000000000,1.5213463999989500,1.3240799499999400,1.9633926500000600,1.4599508500005000,1.5294180999999300,0.2857142857142860,0.47619047619047600,0.2,0.6190476190476190,0.05263157894736840,0.10526315789473700,0.15,0.2631578947368420,0.39759036144578300,0.14285714285714300
25,0.3294944041354170,0.9382114933668230,1.1584257553512600,0.9366204488359080,1.2711876499997700,1.1777375000001500,1.0364736999999900,0.9145594000001440,1.647634449999710,1.4279373999997900,1.2669461999994400,1.025272799999580,1.456882950000360,1.2465650499998400,1.1841364500005500,1.017873800000420,0.4,0.6363636363636360,0.6470588235294120,0.7368421052631580,0.28,0.2777777777777780,0.21739130434782600,0.38095238095238100,0.6164383561643840,0.28735632183908000
26,0.31713129546784500,1.967889080789650,2.044131726978330,0.9044504368234790,1.1212198000000600,1.1673588499999100,0.9387053000000380,0.8546658000000210,1.3988480999999000,1.2066698999999500,1.2577338000001000,1.046814799999940,1.1937160999999600,1.1673588499999100,0.9842444999999320,0.8946929000001090,0.3333333333333330,0.36,0.3888888888888890,0.3333333333333330,0.22727272727272700,0.0,0.0,0.09090909090909090,0.35443037974683500,0.08641975308641980
27,0.7478512278550830,1.2815515655446000,0.6861706983323560,2.3193433771475500,1.0601074000001100,1.1908162999999400,0.869388699999945,0.8377729999999700,1.1061632000000800,1.1421712500000500,1.0534879000001600,0.7034152500000350,1.0734036999999700,1.1711670500000100,1.0044789999999500,0.822068300000069,0.3181818181818180,0.5,0.2857142857142860,0.75,0.1111111111111110,0.1,0.10526315789473700,0.05,0.4578313253012050,0.09090909090909090